,Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
143,SRR25568377,2023-10-01 11:37:19,2023-08-08 08:36:18,23264065,1163203250,0,50,950,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR025/25568/SRR25568377/SRR25568377.lite.1,SRX21297125,RHDL1,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP453975,PRJNA1003397,,1003397,SRS18546234,SAMN36887625,simple,10090,Mus musculus,RHDL1,,,,,not determined,,no,,,,,SHANGHAI JIAO TONG UNIVERSITY SCHOOL OF MEDICINE,SRA1688589,,public,96B533A9A863BE122477C595436A1B7E,C32A295D20805547446735DEACA14C29
144,SRR25568374,2023-10-01 11:37:19,2023-08-08 08:41:12,23273908,1163695400,0,50,953,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR025/25568/SRR25568374/SRR25568374.lite.1,SRX21297128,PEGPLA1,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP453975,PRJNA1003397,,1003397,SRS18546236,SAMN36887628,simple,10090,Mus musculus,PEGPLA1,,,,,not determined,,no,,,,,SHANGHAI JIAO TONG UNIVERSITY SCHOOL OF MEDICINE,SRA1688589,,public,927CAF3CDD3D75ADC3B0040CACE882BF,C39DD01C3DA6D8962B032F0E5C73BDF0
145,SRR25568381,2023-10-01 11:37:19,2023-08-08 08:38:51,23811770,1190588500,0,50,1006,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR025/25568/SRR25568381/SRR25568381.lite.1,SRX21297121,AUNP1,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP453975,PRJNA1003397,,1003397,SRS18546228,SAMN36887637,simple,10090,Mus musculus,AUNP1,,,,,not determined,,no,,,,,SHANGHAI JIAO TONG UNIVERSITY SCHOOL OF MEDICINE,SRA1688589,,public,92465933BA08DFEA7F4F1F600BE00735,4F5B0F4168C685D0C60AA2AFCF7C5210
146,SRR25568380,2023-10-01 11:37:19,2023-08-08 08:52:18,23869712,1193485600,0,50,1014,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR025/25568/SRR25568380/SRR25568380.lite.1,SRX21297122,AUNP2,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP453975,PRJNA1003397,,1003397,SRS18546227,SAMN36887638,simple,10090,Mus musculus,AUNP2,,,,,not determined,,no,,,,,SHANGHAI JIAO TONG UNIVERSITY SCHOOL OF MEDICINE,SRA1688589,,public,37EEC2967F4F054CC90C2EA04A3CD2E5,19E890E3F8D6CF434EAB69F676FD7472
147,SRR25568379,2023-10-01 11:37:19,2023-08-08 08:35:26,23860279,1193013950,0,50,1003,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR025/25568/SRR25568379/SRR25568379.lite.1,SRX21297123,AUNP3,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP453975,PRJNA1003397,,1003397,SRS18546230,SAMN36887639,simple,10090,Mus musculus,AUNP3,,,,,not determined,,no,,,,,SHANGHAI JIAO TONG UNIVERSITY SCHOOL OF MEDICINE,SRA1688589,,public,C73EC84845D0F7F10CB7B8DFF3432BB1,5CC84FFBC6E2E6FCB0430B48EC0625D6
148,SRR25568383,2023-10-01 11:37:19,2023-08-08 08:40:28,23505384,1175269200,0,50,983,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR025/25568/SRR25568383/SRR25568383.lite.1,SRX21297119,PQD2,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP453975,PRJNA1003397,,1003397,SRS18546226,SAMN36887635,simple,10090,Mus musculus,PQD2,,,,,not determined,,no,,,,,SHANGHAI JIAO TONG UNIVERSITY SCHOOL OF MEDICINE,SRA1688589,,public,C36AB3981B803B50AC0E5F301E677F65,17B2EA507185DB091B3F3636ECADACA5
149,SRR25568382,2023-10-01 11:37:19,2023-08-08 08:36:52,23503996,1175199800,0,50,988,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR025/25568/SRR25568382/SRR25568382.lite.1,SRX21297120,PQD3,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP453975,PRJNA1003397,,1003397,SRS18546229,SAMN36887636,simple,10090,Mus musculus,PQD3,,,,,not determined,,no,,,,,SHANGHAI JIAO TONG UNIVERSITY SCHOOL OF MEDICINE,SRA1688589,,public,2D39C918FD99DCE4CF6449634732B8A7,9D17892C73025E94D7597454422EBF5A
150,SRR25568388,2023-10-01 11:37:19,2023-08-08 08:35:20,22798555,1139927750,0,50,930,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR025/25568/SRR25568388/SRR25568388.lite.1,SRX21297114,CTRL1,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP453975,PRJNA1003397,,1003397,SRS18546221,SAMN36887622,simple,10090,Mus musculus,CTRL1,,,,,not determined,,no,,,,,SHANGHAI JIAO TONG UNIVERSITY SCHOOL OF MEDICINE,SRA1688589,,public,6DF3BA5AE6EE8DCBCFF5B1C26117F540,2B0150A2ABCF07652332B6C9A7B84AED
151,SRR25568387,2023-10-01 11:37:19,2023-08-08 08:47:38,23262882,1163144100,0,50,956,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR025/25568/SRR25568387/SRR25568387.lite.1,SRX21297115,CTRL2,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP453975,PRJNA1003397,,1003397,SRS18546222,SAMN36887623,simple,10090,Mus musculus,CTRL2,,,,,not determined,,no,,,,,SHANGHAI JIAO TONG UNIVERSITY SCHOOL OF MEDICINE,SRA1688589,,public,E65F292A9A8CB28BD06003C5E32FACE2,ACE3221FC4E8BDCB5B0518645DB768A6
152,SRR25568386,2023-10-01 11:37:19,2023-08-08 08:35:32,23483363,1174168150,0,50,984,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR025/25568/SRR25568386/SRR25568386.lite.1,SRX21297116,QD2,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP453975,PRJNA1003397,,1003397,SRS18546223,SAMN36887632,simple,10090,Mus musculus,QD2,,,,,not determined,,no,,,,,SHANGHAI JIAO TONG UNIVERSITY SCHOOL OF MEDICINE,SRA1688589,,public,C63CECDC20C8014A6FD9D6F461FDC89A,BFEBED53AB80813647CA006648C7B4E0
153,SRR25568385,2023-10-01 11:37:19,2023-08-08 08:36:30,23496958,1174847900,0,50,972,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR025/25568/SRR25568385/SRR25568385.lite.1,SRX21297117,QD3,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP453975,PRJNA1003397,,1003397,SRS18546224,SAMN36887633,simple,10090,Mus musculus,QD3,,,,,not determined,,no,,,,,SHANGHAI JIAO TONG UNIVERSITY SCHOOL OF MEDICINE,SRA1688589,,public,4F876F2BA42039764A765DF5EF5050DC,95006856B2ECC5F1693AA0A81AD743B7
154,SRR25568384,2023-10-01 11:37:19,2023-08-08 08:37:29,23515368,1175768400,0,50,978,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR025/25568/SRR25568384/SRR25568384.lite.1,SRX21297118,PQD1,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP453975,PRJNA1003397,,1003397,SRS18546225,SAMN36887634,simple,10090,Mus musculus,PQD1,,,,,not determined,,no,,,,,SHANGHAI JIAO TONG UNIVERSITY SCHOOL OF MEDICINE,SRA1688589,,public,37B9EE8FDC02A02AB07B9668F15CAC98,34FD53933010EF618D9C680B46A9B884
155,SRR25558008,2023-08-12 00:02:20,2023-08-07 23:22:06,22343873,6747849646,22343873,302,2217,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR025/25558/SRR25558008/SRR25558008.lite.1,SRX21286806,GSM7692330,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP453894,PRJNA1003103,3.0,1003103,SRS18536919,SAMN36878581,simple,10090,Mus musculus,GSM7692330,,,,,,,no,,,,,"NEUROLOGY, EMORY UNIVERSITY",SRA1688351,,public,11C69CDF615B626F35E19887C85F34E8,0AD47E30EB759C8684B34746051318B9
156,SRR25558004,2023-08-12 00:02:20,2023-08-07 23:13:20,26689703,8060290306,26689703,302,2627,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR025/25558/SRR25558004/SRR25558004.lite.1,SRX21286810,GSM7692331,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP453894,PRJNA1003103,3.0,1003103,SRS18536923,SAMN36878580,simple,10090,Mus musculus,GSM7692331,,,,,,,no,,,,,"NEUROLOGY, EMORY UNIVERSITY",SRA1688351,,public,6CF1FFC2448476234DB2A1A95FC5275A,B90E4A3F9C07CFF5490633D390604043
157,SRR25558007,2023-08-12 00:02:20,2023-08-07 23:25:28,21752122,6569140844,21752122,302,2159,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR025/25558/SRR25558007/SRR25558007.lite.1,SRX21286807,GSM7692332,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP453894,PRJNA1003103,3.0,1003103,SRS18536920,SAMN36878579,simple,10090,Mus musculus,GSM7692332,,,,,,,no,,,,,"NEUROLOGY, EMORY UNIVERSITY",SRA1688351,,public,A3969B870A4D4E498D4F8694C1F69945,81259FF1824CCEE6455BFFB37DAC830D
158,SRR25558006,2023-08-12 00:02:20,2023-08-07 23:30:27,26144488,7895635376,26144488,302,2564,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR025/25558/SRR25558006/SRR25558006.lite.1,SRX21286808,GSM7692333,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP453894,PRJNA1003103,3.0,1003103,SRS18536921,SAMN36878578,simple,10090,Mus musculus,GSM7692333,,,,,,,no,,,,,"NEUROLOGY, EMORY UNIVERSITY",SRA1688351,,public,3A5DC91216553C3BCBA2A41BB4886E32,117D53AC52706ED38CD91DE71F49C079
159,SRR25558005,2023-08-12 00:02:20,2023-08-07 23:18:36,26567171,8023285642,26567171,302,2584,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR025/25558/SRR25558005/SRR25558005.lite.1,SRX21286809,GSM7692334,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP453894,PRJNA1003103,3.0,1003103,SRS18536922,SAMN36878577,simple,10090,Mus musculus,GSM7692334,,,,,,,no,,,,,"NEUROLOGY, EMORY UNIVERSITY",SRA1688351,,public,1C5788714D7EBA10ADAD31766A302852,4687FEC2629B1EB0536C24872826DE62
160,SRR25558009,2023-08-12 00:02:20,2023-08-07 23:17:45,27296291,8243479882,27296291,302,2640,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR025/25558/SRR25558009/SRR25558009.lite.1,SRX21286805,GSM7692318,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP453894,PRJNA1003103,3.0,1003103,SRS18536918,SAMN36878592,simple,10090,Mus musculus,GSM7692318,,,,,,,no,,,,,"NEUROLOGY, EMORY UNIVERSITY",SRA1688351,,public,E852A00EB650E2409933F3335D8D48A8,8759712D0FD8B695105A179F289401BD
161,SRR25558010,2023-08-12 00:02:20,2023-08-07 23:18:11,25726432,7769382464,25726432,302,2618,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR025/25558/SRR25558010/SRR25558010.lite.1,SRX21286804,GSM7692319,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP453894,PRJNA1003103,3.0,1003103,SRS18536917,SAMN36878591,simple,10090,Mus musculus,GSM7692319,,,,,,,no,,,,,"NEUROLOGY, EMORY UNIVERSITY",SRA1688351,,public,BF1837ED5A783F6F1609326C74ED33A0,DC82FB1B4060BAA1FB5F8A8168AD6300
162,SRR25558011,2023-08-12 00:02:20,2023-08-07 23:16:21,21898846,6613451492,21898846,302,2158,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR025/25558/SRR25558011/SRR25558011.lite.1,SRX21286803,GSM7692320,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP453894,PRJNA1003103,3.0,1003103,SRS18536916,SAMN36878590,simple,10090,Mus musculus,GSM7692320,,,,,,,no,,,,,"NEUROLOGY, EMORY UNIVERSITY",SRA1688351,,public,E09BB272E34E40A52E2F5E4F3D21F74C,7AEECB17110BB137B75E7291DDD9EF91
163,SRR25558012,2023-08-12 00:02:20,2023-08-07 23:15:25,26337273,7953856446,26337273,302,2566,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR025/25558/SRR25558012/SRR25558012.lite.1,SRX21286802,GSM7692321,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP453894,PRJNA1003103,3.0,1003103,SRS18536915,SAMN36878589,simple,10090,Mus musculus,GSM7692321,,,,,,,no,,,,,"NEUROLOGY, EMORY UNIVERSITY",SRA1688351,,public,F6D8AA6A5210C83D13758443C8753E33,69A5003EC06BC118943F65D0B6DBD026
164,SRR25558013,2023-08-12 00:02:20,2023-08-07 23:12:39,21195388,6401007176,21195388,302,2078,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR025/25558/SRR25558013/SRR25558013.lite.1,SRX21286801,GSM7692322,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP453894,PRJNA1003103,3.0,1003103,SRS18536914,SAMN36878588,simple,10090,Mus musculus,GSM7692322,,,,,,,no,,,,,"NEUROLOGY, EMORY UNIVERSITY",SRA1688351,,public,A54B935B1234FB3A1DCF3FCEEF147CFE,09487E54A581C7E2F8F8BF0D5996570B
165,SRR25558014,2023-08-12 00:02:20,2023-08-07 23:13:25,26610730,8036440460,26610730,302,2696,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR025/25558/SRR25558014/SRR25558014.lite.1,SRX21286800,GSM7692323,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP453894,PRJNA1003103,3.0,1003103,SRS18536913,SAMN36878587,simple,10090,Mus musculus,GSM7692323,,,,,,,no,,,,,"NEUROLOGY, EMORY UNIVERSITY",SRA1688351,,public,E9DD29E238DE2341AE3D943F5F8848AA,C5BC253E7B638746AFEA28AE66104842
166,SRR25558015,2023-08-12 00:02:20,2023-08-07 23:19:04,28884092,8722995784,28884092,302,2910,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR025/25558/SRR25558015/SRR25558015.lite.1,SRX21286799,GSM7692325,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP453894,PRJNA1003103,3.0,1003103,SRS18536912,SAMN36878586,simple,10090,Mus musculus,GSM7692325,,,,,,,no,,,,,"NEUROLOGY, EMORY UNIVERSITY",SRA1688351,,public,AC5E627D1ED6EB84B83AE8A6FDE9B07A,9D1621ED39182CA7A4D258D09142B800
167,SRR25558016,2023-08-12 00:02:20,2023-08-07 23:17:40,25497524,7700252248,25497524,302,2538,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR025/25558/SRR25558016/SRR25558016.lite.1,SRX21286798,GSM7692326,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP453894,PRJNA1003103,3.0,1003103,SRS18536911,SAMN36878585,simple,10090,Mus musculus,GSM7692326,,,,,,,no,,,,,"NEUROLOGY, EMORY UNIVERSITY",SRA1688351,,public,F8A04D9DD65F894A156C3A18BBE3B373,022279C8C9CCE2695FD18C8ED4FF5A99
168,SRR25558017,2023-08-12 00:02:20,2023-08-07 23:21:19,24404107,7370040314,24404107,302,2443,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR025/25558/SRR25558017/SRR25558017.lite.1,SRX21286797,GSM7692327,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP453894,PRJNA1003103,3.0,1003103,SRS18536909,SAMN36878584,simple,10090,Mus musculus,GSM7692327,,,,,,,no,,,,,"NEUROLOGY, EMORY UNIVERSITY",SRA1688351,,public,993D0B6174066B53448629A0287C67EC,A0AE5878B4FD9BDA87002A03058AE4BE
169,SRR25558018,2023-08-12 00:02:20,2023-08-07 23:20:08,30307376,9152827552,30307376,302,3004,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR025/25558/SRR25558018/SRR25558018.lite.1,SRX21286796,GSM7692328,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP453894,PRJNA1003103,3.0,1003103,SRS18536910,SAMN36878583,simple,10090,Mus musculus,GSM7692328,,,,,,,no,,,,,"NEUROLOGY, EMORY UNIVERSITY",SRA1688351,,public,27C60EF84720EF458D6AD0277A42AC22,C483B7FE06E6143A91FB6C7C39B0FCF8
170,SRR25558023,2023-08-12 00:02:20,2023-08-07 23:23:07,25525192,7708607984,25525192,302,2564,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR025/25558/SRR25558023/SRR25558023.lite.1,SRX21286791,GSM7692314,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP453894,PRJNA1003103,3.0,1003103,SRS18536904,SAMN36878596,simple,10090,Mus musculus,GSM7692314,,,,,,,no,,,,,"NEUROLOGY, EMORY UNIVERSITY",SRA1688351,,public,EA3C941487813EFE0841B17A90B26178,9EDC84923FD170AB3AFD78FC9070820D
