Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR32936239,2025-05-01 01:56:56,2025-04-01 12:27:25,32856425,6571285000,32856425,200,4224,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR032/32936/SRR32936239/SRR32936239.lite.1,SRX28210930,GSM8883044,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP575689,PRJNA1244760,,1244760,SRS24560073,SAMN47732592,simple,10090,Mus musculus,GSM8883044,,,,,,,no,,,,,TONGJI HOSPITAL,SRA2104801,,public,363CCF83C5DE9C02F50892743C083BF6,E99881FE60BAC4C04ADF5BA16F8583F2
SRR32936238,2025-05-01 01:56:56,2025-04-01 12:22:13,33172568,6634513600,33172568,200,4286,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR032/32936/SRR32936238/SRR32936238.lite.1,SRX28210931,GSM8883045,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP575689,PRJNA1244760,,1244760,SRS24560075,SAMN47732591,simple,10090,Mus musculus,GSM8883045,,,,,,,no,,,,,TONGJI HOSPITAL,SRA2104801,,public,4E74F59F6D04D5E5CD3ABC6CC0CB1F14,92D4674E4D011FE26DB2872227482B80
SRR32936237,2025-05-01 01:56:56,2025-04-01 12:39:30,32786793,6557358600,32786793,200,4222,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR032/32936/SRR32936237/SRR32936237.lite.1,SRX28210932,GSM8883046,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP575689,PRJNA1244760,,1244760,SRS24560076,SAMN47732590,simple,10090,Mus musculus,GSM8883046,,,,,,,no,,,,,TONGJI HOSPITAL,SRA2104801,,public,F99BA092DD3D11A2578514FF2394C808,A9A658B333415FD77E6A6D0B3BAE669E
SRR32936236,2025-05-01 01:56:56,2025-04-01 12:22:13,33083615,6616723000,33083615,200,4300,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR032/32936/SRR32936236/SRR32936236.lite.1,SRX28210933,GSM8883047,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP575689,PRJNA1244760,,1244760,SRS24560077,SAMN47732589,simple,10090,Mus musculus,GSM8883047,,,,,,,no,,,,,TONGJI HOSPITAL,SRA2104801,,public,1A8A9C7B3FA54BFC03475763868A1CCB,E81460766FDED808D0E8635821C4CB69
SRR32936235,2025-05-01 01:56:56,2025-04-01 12:21:50,34549436,6909887200,34549436,200,4333,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR032/32936/SRR32936235/SRR32936235.lite.1,SRX28210934,GSM8883048,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP575689,PRJNA1244760,,1244760,SRS24560078,SAMN47732588,simple,10090,Mus musculus,GSM8883048,,,,,,,no,,,,,TONGJI HOSPITAL,SRA2104801,,public,9B97417651427A6463A9EFC79AB1CE31,69043BABDD51A7591B5481E8F6A74656
SRR32936244,2025-05-01 01:56:57,2025-04-01 12:22:57,33735282,6747056400,33735282,200,4270,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR032/32936/SRR32936244/SRR32936244.lite.1,SRX28210925,GSM8883039,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP575689,PRJNA1244760,,1244760,SRS24560068,SAMN47732597,simple,10090,Mus musculus,GSM8883039,,,,,,,no,,,,,TONGJI HOSPITAL,SRA2104801,,public,25D442B164ED249A0276D794E994643B,A5B1137BF5BF12A3FBF1E68D694F8335
SRR32936243,2025-05-01 01:56:57,2025-04-01 12:23:41,34514510,6902902000,34514510,200,4333,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR032/32936/SRR32936243/SRR32936243.lite.1,SRX28210926,GSM8883040,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP575689,PRJNA1244760,,1244760,SRS24560070,SAMN47732596,simple,10090,Mus musculus,GSM8883040,,,,,,,no,,,,,TONGJI HOSPITAL,SRA2104801,,public,1C93D416B0ACCD9250DA05FA722F27AD,BD6860D560B6CE4CA243BDB136F990C2
SRR32936242,2025-05-01 01:56:57,2025-04-01 12:23:49,34274302,6854860400,34274302,200,4363,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR032/32936/SRR32936242/SRR32936242.lite.1,SRX28210927,GSM8883041,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP575689,PRJNA1244760,,1244760,SRS24560071,SAMN47732595,simple,10090,Mus musculus,GSM8883041,,,,,,,no,,,,,TONGJI HOSPITAL,SRA2104801,,public,A8EE6C5C469513FAD0464B668E6DC355,BA5BD083E95C19E3CDE3E8DECA2C132D
SRR32936241,2025-05-01 01:56:57,2025-04-01 12:23:32,33402285,6680457000,33402285,200,4161,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR032/32936/SRR32936241/SRR32936241.lite.1,SRX28210928,GSM8883042,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP575689,PRJNA1244760,,1244760,SRS24560072,SAMN47732594,simple,10090,Mus musculus,GSM8883042,,,,,,,no,,,,,TONGJI HOSPITAL,SRA2104801,,public,D6DD2414388CD65B86B7141FFAE7F1E9,401FC405F2C6882C5617C5A969DA3745
SRR32936240,2025-05-01 01:56:56,2025-04-01 12:22:50,34812810,6962562000,34812810,200,4384,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR032/32936/SRR32936240/SRR32936240.lite.1,SRX28210929,GSM8883043,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP575689,PRJNA1244760,,1244760,SRS24560074,SAMN47732593,simple,10090,Mus musculus,GSM8883043,,,,,,,no,,,,,TONGJI HOSPITAL,SRA2104801,,public,0378EA5C5B03B1585E02B801FB666E51,F235236835748370C3D84210C5D550CE
SRR32936249,2025-05-01 01:56:57,2025-04-01 12:24:26,30659308,6131861600,30659308,200,3951,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR032/32936/SRR32936249/SRR32936249.lite.1,SRX28210920,GSM8883034,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP575689,PRJNA1244760,,1244760,SRS24560063,SAMN47732602,simple,10090,Mus musculus,GSM8883034,,,,,,,no,,,,,TONGJI HOSPITAL,SRA2104801,,public,F0BB8AFFE3FF8852FA3247F50C806D2C,C051E3C45678A1891340A2962AC1BEAD
SRR32936248,2025-05-01 01:56:57,2025-04-01 12:26:01,30238605,6047721000,30238605,200,3956,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR032/32936/SRR32936248/SRR32936248.lite.1,SRX28210921,GSM8883035,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP575689,PRJNA1244760,,1244760,SRS24560065,SAMN47732601,simple,10090,Mus musculus,GSM8883035,,,,,,,no,,,,,TONGJI HOSPITAL,SRA2104801,,public,E8AF1A290E7EC73280621CC7AD5C8255,84958D228998BF1CE63A1F2817BA8FB2
SRR32936247,2025-05-01 01:56:57,2025-04-01 12:25:41,31892529,6378505800,31892529,200,4073,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR032/32936/SRR32936247/SRR32936247.lite.1,SRX28210922,GSM8883036,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP575689,PRJNA1244760,,1244760,SRS24560066,SAMN47732600,simple,10090,Mus musculus,GSM8883036,,,,,,,no,,,,,TONGJI HOSPITAL,SRA2104801,,public,7EF4E33F9D881D898E432CB42C92243B,983C6743F6617CD09950926755F3BA01
SRR32936246,2025-05-01 01:56:57,2025-04-01 12:24:07,35401671,7080334200,35401671,200,4578,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR032/32936/SRR32936246/SRR32936246.lite.1,SRX28210923,GSM8883037,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP575689,PRJNA1244760,,1244760,SRS24560067,SAMN47732599,simple,10090,Mus musculus,GSM8883037,,,,,,,no,,,,,TONGJI HOSPITAL,SRA2104801,,public,99B1E683CA3F68AD7C6AA5DD44BA9016,71D333C008C4BBA7A4C1083C2174C938
SRR32936245,2025-05-01 01:56:57,2025-04-01 12:22:49,34647181,6929436200,34647181,200,4365,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR032/32936/SRR32936245/SRR32936245.lite.1,SRX28210924,GSM8883038,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP575689,PRJNA1244760,,1244760,SRS24560069,SAMN47732598,simple,10090,Mus musculus,GSM8883038,,,,,,,no,,,,,TONGJI HOSPITAL,SRA2104801,,public,FA25CD7A1753F14C9AC1DC674D96F01A,D1CAFB7FF3B67A6F91FF9848757D8CD2
SRR32936254,2025-05-01 01:56:56,2025-04-01 12:23:48,35357279,7071455800,35357279,200,4529,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR032/32936/SRR32936254/SRR32936254.lite.1,SRX28210915,GSM8883029,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP575689,PRJNA1244760,,1244760,SRS24560059,SAMN47732607,simple,10090,Mus musculus,GSM8883029,,,,,,,no,,,,,TONGJI HOSPITAL,SRA2104801,,public,EB356A1FEE2B981F024AD4A2DCAF050F,94C9398EA91C04CAE8EB91F5ADE6148E
SRR32936253,2025-05-01 01:56:56,2025-04-01 12:22:38,33888633,6777726600,33888633,200,4358,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR032/32936/SRR32936253/SRR32936253.lite.1,SRX28210916,GSM8883030,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP575689,PRJNA1244760,,1244760,SRS24560060,SAMN47732606,simple,10090,Mus musculus,GSM8883030,,,,,,,no,,,,,TONGJI HOSPITAL,SRA2104801,,public,8C098F789DB73099E7D79E02087BDE0C,72C89FBFA244E3777D7CCCCDEA642BBD
SRR32936251,2025-05-01 01:56:57,2025-04-01 12:29:44,32901821,6580364200,32901821,200,4207,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR032/32936/SRR32936251/SRR32936251.lite.1,SRX28210918,GSM8883032,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP575689,PRJNA1244760,,1244760,SRS24560061,SAMN47732604,simple,10090,Mus musculus,GSM8883032,,,,,,,no,,,,,TONGJI HOSPITAL,SRA2104801,,public,4739677921DF5B6136B56437F0F332AA,C50BD7A2D79D57134FB163A17D8FACBC
SRR32936252,2025-05-01 01:56:57,2025-04-01 12:30:49,33597357,6719471400,33597357,200,4319,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR032/32936/SRR32936252/SRR32936252.lite.1,SRX28210917,GSM8883031,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP575689,PRJNA1244760,,1244760,SRS24560062,SAMN47732605,simple,10090,Mus musculus,GSM8883031,,,,,,,no,,,,,TONGJI HOSPITAL,SRA2104801,,public,10BF7989E93170C54D1246B51918E94A,6134206EA595E201D84081A5D2A446DC
SRR32936250,2025-05-01 01:56:57,2025-04-01 12:26:49,33768618,6753723600,33768618,200,4272,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR032/32936/SRR32936250/SRR32936250.lite.1,SRX28210919,GSM8883033,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP575689,PRJNA1244760,,1244760,SRS24560064,SAMN47732603,simple,10090,Mus musculus,GSM8883033,,,,,,,no,,,,,TONGJI HOSPITAL,SRA2104801,,public,E61AFC909783071295AD7E0FC72994F2,B3448F513A5C12AC88E962F84F804B99
SRR32577647,2025-08-31 06:26:59,2025-03-05 16:36:43,36669133,11000739900,36669133,300,3665,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR032/32577/SRR32577647/SRR32577647.lite.1,SRX27886198,GSM8830658,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X Plus,SRP568135,PRJNA1232173,,1232173,SRS24257744,SAMN47227038,simple,9606,Homo sapiens,GSM8830658,,,,,,,no,,,,,"CHTSF, CENTRE FOR MEDICINES DISCOVERY, UNIVERSITY OF OXFORD",SRA2088768,,public,E94751964C05FBC0BAA0F8F916545AFB,875FCEA0B1C650E2A2E35BA01B62F620
SRR32577646,2025-08-31 06:26:59,2025-03-05 16:37:03,36922044,11076613200,36922044,300,3713,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR032/32577/SRR32577646/SRR32577646.lite.1,SRX27886199,GSM8830659,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X Plus,SRP568135,PRJNA1232173,,1232173,SRS24257745,SAMN47227037,simple,9606,Homo sapiens,GSM8830659,,,,,,,no,,,,,"CHTSF, CENTRE FOR MEDICINES DISCOVERY, UNIVERSITY OF OXFORD",SRA2088768,,public,BE7E018B422288062007EAE6FA543F29,51AD752BC8A5325E79301598C6C769D6
SRR32936257,2025-05-01 01:56:56,2025-04-01 12:26:07,33305378,6661075600,33305378,200,4108,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR032/32936/SRR32936257/SRR32936257.lite.1,SRX28210912,GSM8883026,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP575689,PRJNA1244760,,1244760,SRS24560056,SAMN47732610,simple,10090,Mus musculus,GSM8883026,,,,,,,no,,,,,TONGJI HOSPITAL,SRA2104801,,public,2897D2E38AF3429D06C0E00F3AEFDC97,9B1E5840DE3AEDFE7BE77C8047AFABB6
SRR32936256,2025-05-01 01:56:57,2025-04-01 12:23:35,34171265,6834253000,34171265,200,4287,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR032/32936/SRR32936256/SRR32936256.lite.1,SRX28210913,GSM8883027,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP575689,PRJNA1244760,,1244760,SRS24560057,SAMN47732609,simple,10090,Mus musculus,GSM8883027,,,,,,,no,,,,,TONGJI HOSPITAL,SRA2104801,,public,6F252454805BA22536BA5F6A1A2BD1B5,48106441EA0D8D856B7FFDD68C014784
SRR32936255,2025-05-01 01:56:57,2025-04-01 12:26:37,30755300,6151060000,30755300,200,3908,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR032/32936/SRR32936255/SRR32936255.lite.1,SRX28210914,GSM8883028,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP575689,PRJNA1244760,,1244760,SRS24560058,SAMN47732608,simple,10090,Mus musculus,GSM8883028,,,,,,,no,,,,,TONGJI HOSPITAL,SRA2104801,,public,BAB38EB711F92129731CBC5ED7C8B28F,5D0D7170DA35EF04C7E672F09FF51F83
SRR32577652,2025-08-31 06:27:00,2025-03-05 16:37:10,34806623,10441986900,34806623,300,3478,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR032/32577/SRR32577652/SRR32577652.lite.1,SRX27886193,GSM8830653,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X Plus,SRP568135,PRJNA1232173,,1232173,SRS24257739,SAMN47227043,simple,9606,Homo sapiens,GSM8830653,,,,,,,no,,,,,"CHTSF, CENTRE FOR MEDICINES DISCOVERY, UNIVERSITY OF OXFORD",SRA2088768,,public,D910774E6265CDA145AA24FF7AB6D785,8E030EF9E59B41BD66CE451866A33A19
SRR32577651,2025-08-31 06:26:59,2025-03-05 16:37:24,41021422,12306426600,41021422,300,4001,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR032/32577/SRR32577651/SRR32577651.lite.1,SRX27886194,GSM8830654,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X Plus,SRP568135,PRJNA1232173,,1232173,SRS24257740,SAMN47227042,simple,9606,Homo sapiens,GSM8830654,,,,,,,no,,,,,"CHTSF, CENTRE FOR MEDICINES DISCOVERY, UNIVERSITY OF OXFORD",SRA2088768,,public,0501B1DBDA7C751229449499D8805B43,5F366ACE7235D8546B5AD6E3E63654FD
SRR32577650,2025-08-31 06:26:59,2025-03-05 16:37:49,41080413,12324123900,41080413,300,4080,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR032/32577/SRR32577650/SRR32577650.lite.1,SRX27886195,GSM8830655,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X Plus,SRP568135,PRJNA1232173,,1232173,SRS24257742,SAMN47227041,simple,9606,Homo sapiens,GSM8830655,,,,,,,no,,,,,"CHTSF, CENTRE FOR MEDICINES DISCOVERY, UNIVERSITY OF OXFORD",SRA2088768,,public,42E68887DDAE44B7CC699473C5540553,BF4DDB048B7D6F90B4FD811B4D000A00
